event,pace,distance
Half,5.416666667,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.416666667,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.45,21.1
Half,5.45,21.1
Half,5.466666667,21.1
Half,5.433333333,21.1
Half,5.466666667,21.1
Half,5.416666667,21.1
Half,5.45,21.1
Half,5.483333333,21.1
Half,5.483333333,21.1
Half,5.466666667,21.1
Half,5.5,21.1
Half,5.483333333,21.1
Half,5.483333333,21.1
Half,5.5,21.1
Half,5.483333333,21.1
Half,5.5,21.1
Half,5.516666667,21.1
Half,5.483333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.516666667,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.55,21.1
Half,5.516666667,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.5,21.1
Half,5.533333333,21.1
Half,5.55,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.5,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.566666667,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.566666667,21.1
Half,5.55,21.1
Half,5.583333333,21.1
Half,5.566666667,21.1
Half,5.6,21.1
Half,5.583333333,21.1
Half,5.583333333,21.1
Half,5.583333333,21.1
Half,5.583333333,21.1
Half,5.583333333,21.1
Half,5.633333333,21.1
Half,5.616666667,21.1
Half,5.6,21.1
Half,5.6,21.1
Half,5.6,21.1
Half,5.6,21.1
Half,5.65,21.1
Half,5.65,21.1
Half,5.616666667,21.1
Half,5.633333333,21.1
Half,5.633333333,21.1
Half,5.6,21.1
Half,5.65,21.1
Half,5.616666667,21.1
Half,5.633333333,21.1
Half,5.6,21.1
Half,5.65,21.1
Half,5.65,21.1
Half,5.65,21.1
Half,5.666666667,21.1
Half,5.65,21.1
Half,5.666666667,21.1
Half,5.616666667,21.1
Half,5.65,21.1
Half,5.666666667,21.1
Half,5.65,21.1
Half,5.683333333,21.1
Half,5.666666667,21.1
Half,5.666666667,21.1
Half,5.683333333,21.1
Half,5.666666667,21.1
Half,5.683333333,21.1
Half,5.683333333,21.1
Half,5.7,21.1
Half,5.683333333,21.1
Half,5.683333333,21.1
Half,5.683333333,21.1
Half,5.683333333,21.1
Half,5.716666667,21.1
Half,5.683333333,21.1
Half,5.716666667,21.1
Half,5.7,21.1
Half,5.716666667,21.1
Half,5.7,21.1
Half,5.7,21.1
Half,5.716666667,21.1
